asinSkuId,skuId,asinId
,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,10,10
,11,11
,12,12
,13,13
,14,14
,15,15
,16,16
,17,17
,18,18
,19,19
,20,20
,21,21
,22,22
,23,23
,24,24
,25,25
,26,26
,27,27
,28,28
,29,29
,30,30
,31,31
,32,32
,33,33
,34,34
,35,35
,36,36
,37,37
,38,38
,39,39
,40,40
,41,41
,42,42
,43,43
,44,44
,45,45
,46,46
,47,47
,48,48
,49,49
,50,50
,51,51
,52,52
,53,53
,54,54
,55,55
,56,56
,57,57
,58,58
,59,59
,60,60
,61,61
,62,62
,63,63
,64,64
,65,65
,66,66
,67,67
,68,68
,69,69
,70,70
,71,71
,72,72
,73,73
,74,74
,75,75
,76,76
,77,77
,78,78
,79,79
,80,80
,81,81
,82,82
,83,83
,84,84
,85,85
,86,86
,87,87
,88,88
,89,89
,90,90
,91,91
,92,92
,93,93
,94,94
,95,95
,96,96
,97,97
,98,98
,99,99
,100,100
,101,101
,102,102
,103,103
,104,104
,105,105
,106,106
,107,107
,108,108
,109,109
,110,110
,111,111
,112,112
,113,113
,114,114
,115,115
,116,116
,117,117
,118,118
,119,119
,120,120
,121,121
,122,122
,123,123
,124,124
,125,125
,126,126
,127,127
,128,128
,129,129
,130,130
,131,131
,132,132
,133,133
,134,134
,135,135
,136,136
,137,137
,138,138
,139,139
,140,56
,141,140
,142,141
,143,142
,144,133
,145,143
,146,144
,147,145
,148,146
,149,147
,150,148
,151,149
,152,150
,153,151
,154,152
,155,153
,156,154
,157,155
,158,156
,159,157
,160,158
,161,159
,162,160
,163,161
,164,162
,165,112
,166,163
,167,164
,168,165
,169,166
,170,167
,171,168
,172,169
,173,170
,174,171
,175,172
,176,173
,177,174
,178,33
,179,175
,180,176
,181,177
,182,178
,183,179
,184,180
,185,181
,186,182
,187,183
,188,184
,189,185
,190,186
,191,187
,192,188
,193,189
,194,190
,195,191
,196,11
,197,192
,198,193
,199,194
,200,195
,201,196
,202,197
,203,198
,204,199
,205,200
,206,201
,207,133
,208,202
,209,203
,210,204
,211,58
,212,205
,213,206
,214,207
,215,208
,216,87
,217,209
,218,210
,219,211
,220,212
,221,213
,222,214
,223,215
,224,216
,225,217
,226,218
,227,219
,228,220
,229,221
,230,222
,231,223
,232,224
,233,225
,234,226
,235,227
,236,228
,237,229
,238,230
,239,231
,240,232
,241,233
,242,234
,243,235
,244,236
,245,237
,246,238
,247,239
,248,240
,249,241
,250,242
,251,243
,252,244
,253,245
,254,235
,255,246
,256,247
,257,248
,258,249
,259,89
,260,250
,261,251
,262,252
,263,253
,264,254
,265,255
,266,256
,267,257
,268,258
,269,259
,270,260
,271,261
,272,255
,273,262
,274,263
,275,264
,276,254
,277,265
,278,266
,279,267
,280,268
,281,269
,282,248
,283,270
,284,271
,285,235
,286,272
,287,273
,288,274
,289,275
,290,276
,291,277
,292,278
,293,279
,294,280
,295,281
,296,282
,297,283
,298,284
,299,285
,300,286
,301,287
,302,288
,303,289
,304,290
,305,291
,306,292
,307,293
,308,294
,309,295
,310,153
,311,296
,312,295
,313,297
,314,298
,315,299
,316,300
,317,301
,318,302
,319,303
,320,304
,321,305
,322,306
,323,307
,324,308
,325,309
,326,310
,327,311
,328,312
,329,282
,330,313
,331,314
,332,315
,333,316
,334,317
,335,318
,336,319
,337,320
,338,321
,339,322
,340,323
,341,324
,342,325
,343,326
,344,327
,345,328
,346,329
,347,330
,348,331
,349,332
,350,333
,351,334
,352,335
,353,336
,354,337
,355,269
,356,338
,357,248
,358,339
,359,262
,360,340
,361,341
,362,342
,363,252
,364,343
,365,344
,366,345
,367,346
,368,295
,369,347
,370,302
,371,348
,372,301
,373,349
,374,350
,375,351
,376,352
,377,353
,378,354
,379,267
,380,264
,381,355
,382,356
,383,357
,384,358
,385,359
,386,360
,387,361
,388,362
,389,363
,390,364
,391,365
,392,366
,393,367
,394,368
,395,366
,396,204
,397,171
,398,33
,399,369
,400,370
,401,371
,402,372
,403,373
,404,188
,405,374
,406,375
,407,376
,408,377
,409,368
,410,378
,411,379
,412,380
,413,381
,414,364
,415,382
,416,383
,417,384
,418,179
,419,385
,420,386
,421,387
,422,388
,423,389
,424,390
,425,391
,426,392
,427,393
,428,394
,429,395
,430,396
,431,397
,432,398
,433,188
,434,399
,435,400
,436,401
,437,402
,438,403
,439,404
,440,405
,441,406
,442,407
,443,408
,444,409
,445,410
,446,411
,447,365
,448,367
,449,412
,450,413
