dailyAverageExchangeRateId,currencyCode,rateToEur,date
,GBP,0.896945,2019-07-7
,GBP,0.895892,2019-07-8
,GBP,0.899402,2019-07-9
,GBP,0.899825,2019-07-10
,GBP,0.898953,2019-07-11
,GBP,0.896513,2019-07-12
,GBP,0.897831,2019-07-13
,GBP,0.897831,2019-07-14
,GBP,0.899553,2019-07-15
,GBP,0.903055,2019-07-16
,GBP,0.901718,2019-07-17
,GBP,0.899048,2019-07-18
,GBP,0.898089,2019-07-19
,GBP,0.8985,2019-07-20
,GBP,0.8985,2019-07-21
,GBP,0.898856,2019-07-22
,GBP,0.896564,2019-07-23
,GBP,0.89188,2019-07-24
,GBP,0.894959,2019-07-25
,GBP,0.897903,2019-07-26
,GBP,0.900369,2019-07-27
,GBP,0.900369,2019-07-28
,GBP,0.911867,2019-07-29
,GBP,0.917139,2019-07-30
,GBP,0.910983,2019-07-31
,GBP,0.911584,2019-08-1
,GBP,0.915434,2019-08-2
,GBP,0.915332,2019-08-3
,GBP,0.915332,2019-08-4
,GBP,0.922097,2019-08-5
,GBP,0.921869,2019-08-6
,GBP,0.923984,2019-08-7
,GBP,0.922773,2019-08-8
,GBP,0.929336,2019-08-9
,GBP,0.939727,2019-08-10
,GBP,0.939727,2019-08-11
,GBP,0.928551,2019-08-12
,GBP,0.927006,2019-08-13
,GBP,0.923891,2019-08-14
,GBP,0.91604,2019-08-15
,GBP,0.91285,2019-08-16
,GBP,0.913053,2019-08-18
,GBP,0.914653,2019-08-19
,GBP,0.911903,2019-08-20
,GBP,0.914468,2019-08-21
,GBP,0.904192,2019-08-22
,GBP,0.908301,2019-08-23
,GBP,0.91546,2019-08-24
,GBP,0.91546,2019-08-25
,GBP,0.908676,2019-08-26
,GBP,0.902121,2019-08-27
,GBP,0.905963,2019-08-28
,GBP,0.906057,2019-08-29
,GBP,0.903446,2019-08-30
,GBP,0.905618,2019-08-31
,GBP,0.905618,2019-09-1
,GBP,0.908927,2019-09-2
,GBP,0.906764,2019-09-3
,GBP,0.903401,2019-09-4
,GBP,0.895893,2019-09-5
,GBP,0.897727,2019-09-6
,GBP,0.90622,2019-09-7
,GBP,0.90622,2019-09-8
,GBP,0.895628,2019-09-9
,GBP,0.894688,2019-09-10
,GBP,0.893541,2019-09-11
,GBP,0.896227,2019-09-12
,GBP,0.888308,2019-09-13
,GBP,0.892089,2019-09-14
,GBP,0.892089,2019-09-15
,GBP,0.885648,2019-09-16
,GBP,0.885164,2019-09-17
,GBP,0.886527,2019-09-18
,GBP,0.884221,2019-09-19
,GBP,0.88142,2019-09-20
,GBP,0.883285,2019-09-21
,GBP,0.883285,2019-09-22
,GBP,0.883876,2019-09-23
,GBP,0.882044,2019-09-24
,GBP,0.885748,2019-09-25
,GBP,0.885329,2019-09-26
,GBP,0.889035,2019-09-27
,GBP,0.890218,2019-09-28
,GBP,0.890349,2019-09-29
,GBP,0.887553,2019-09-30
,GBP,0.888186,2019-10-1
,GBP,0.890405,2019-10-2
,GBP,0.887527,2019-10-3
,GBP,0.890406,2019-10-4
,GBP,0.892159,2019-10-7
,GBP,0.896123,2019-10-8
,GBP,0.899411,2019-10-9
,GBP,0.888767,2019-10-10
,GBP,0.871971,2019-10-11
,GBP,0.872435,2019-10-13
,GBP,0.877679,2019-10-14
,GBP,0.864044,2019-10-15
,GBP,0.862305,2019-10-16
,GBP,0.865714,2019-10-17
,GBP,0.863386,2019-10-18
,GBP,0.859838,2019-10-19
,GBP,0.859838,2019-10-20
,GBP,0.859132,2019-10-21
,GBP,0.860075,2019-10-22
,GBP,0.863866,2019-10-23
,GBP,0.863938,2019-10-24
,GBP,0.863874,2019-10-25
,GBP,0.863842,2019-10-26
,GBP,0.863842,2019-10-27
,GBP,0.862834,2019-10-28
,GBP,0.862393,2019-10-29
,GBP,0.863996,2019-10-30
,GBP,0.86138,2019-10-31
,GBP,0.863394,2019-11-1
,GBP,0.86482,2019-11-2
,GBP,0.863288,2019-11-3
,GBP,0.863647,2019-11-4
,GBP,0.860108,2019-11-5
,GBP,0.860594,2019-11-6
,GBP,0.861343,2019-11-7
,GBP,0.861667,2019-11-8
,GBP,0.86254,2019-11-9
,GBP,0.86254,2019-11-10
,GBP,0.858834,2019-11-11
,GBP,0.856967,2019-11-12
,GBP,0.857192,2019-11-13
,GBP,0.855306,2019-11-14
,GBP,0.855991,2019-11-15
,GBP,0.856192,2019-11-16
,GBP,0.856192,2019-11-17
,GBP,0.854831,2019-11-18
,GBP,0.856816,2019-11-19
,GBP,0.856371,2019-11-20
,GBP,0.856993,2019-11-21
,GBP,0.859812,2019-11-22
,GBP,0.858691,2019-11-23
,GBP,0.858985,2019-11-24
,GBP,0.854544,2019-11-25
,GBP,0.857102,2019-11-26
,GBP,0.854048,2019-11-27
,GBP,0.852678,2019-11-28
,GBP,0.851623,2019-11-29
,GBP,0.852303,2019-11-30
,GBP,0.852303,2019-12-1
,GBP,0.856432,2019-12-2
,GBP,0.853037,2019-12-3
,GBP,0.845841,2019-12-4
,GBP,0.843586,2019-12-5
,GBP,0.842336,2019-12-6
,GBP,0.841549,2019-12-9
,GBP,0.841849,2019-12-10
,GBP,0.84194,2019-12-11
,GBP,0.846492,2019-12-12
,GBP,0.833883,2019-12-13
,GBP,0.835281,2019-12-16
,GBP,0.850215,2019-12-17
,GBP,0.850011,2019-12-18
,GBP,0.85384,2019-12-19
,GBP,0.849274,2019-12-20
,GBP,0.85869,2019-12-23
,GBP,0.855463,2019-12-24
,GBP,0.858474,2019-12-25
,GBP,0.85378,2019-12-26
,GBP,0.853351,2019-12-27
,GBP,0.854335,2019-12-28
,GBP,0.854335,2019-12-29
,GBP,0.853421,2019-12-30
,GBP,0.84611,2019-12-31
,GBP,0.841988,2020-01-1
,GBP,0.850519,2020-01-2
,GBP,0.853436,2020-01-3
,GBP,0.852684,2020-01-4
,GBP,0.852684,2020-01-5
,GBP,0.849903,2020-01-6
,GBP,0.848578,2020-01-7
,GBP,0.848281,2020-01-8
,GBP,0.849972,2020-01-9
,GBP,0.851279,2020-01-10
,GBP,0.857865,2020-01-13
,GBP,0.855155,2020-01-14
,GBP,0.856606,2020-01-15
,GBP,0.851294,2020-01-16
,GBP,0.851529,2020-01-17
,GBP,0.852122,2020-01-18
,GBP,0.852122,2020-01-19
,GBP,0.852722,2020-01-20
,GBP,0.850644,2020-01-21
,GBP,0.844032,2020-01-22
,GBP,0.842509,2020-01-23
,GBP,0.843771,2020-01-24
,GBP,0.843298,2020-01-25
,GBP,0.843298,2020-01-26
,GBP,0.844102,2020-01-27
,GBP,0.847144,2020-01-28
,GBP,0.845927,2020-01-29
,GBP,0.841622,2020-01-30
,GBP,0.840324,2020-01-31
,GBP,0.840185,2020-02-1
,GBP,0.840185,2020-02-2
,GBP,0.850644,2020-02-3
,GBP,0.847757,2020-02-4
,GBP,0.846853,2020-02-5
,GBP,0.848702,2020-02-6
,GBP,0.848798,2020-02-7
,GBP,0.849044,2020-02-8
,GBP,0.849044,2020-02-9
,GBP,0.844944,2020-02-10
,GBP,0.843437,2020-02-11
,GBP,0.839451,2020-02-12
,GBP,0.831003,2020-02-13
,GBP,0.831806,2020-02-14
,GBP,0.830135,2020-02-15
,GBP,0.830135,2020-02-16
,GBP,0.832728,2020-02-17
,GBP,0.831074,2020-02-18
,GBP,0.834368,2020-02-19
,GBP,0.838377,2020-02-20
,GBP,0.837138,2020-02-21
,GBP,0.837287,2020-02-22
,GBP,0.837287,2020-02-23
,GBP,0.840068,2020-02-24
,GBP,0.83595,2020-02-25
,GBP,0.842233,2020-02-26
,GBP,0.852535,2020-02-27
,GBP,0.860721,2020-02-28
,GBP,0.860102,2020-02-29
,GBP,0.860102,2020-03-1
,GBP,0.872461,2020-03-2
,GBP,0.871865,2020-03-3
,GBP,0.866619,2020-03-4
,GBP,0.865056,2020-03-5
,GBP,0.869429,2020-03-6
,GBP,0.864932,2020-03-7
,GBP,0.864932,2020-03-8
,GBP,0.87332,2020-03-9
,GBP,0.875385,2020-03-10
,GBP,0.876452,2020-03-11
,GBP,0.885182,2020-03-12
,GBP,0.89532,2020-03-13
,GBP,0.908272,2020-03-14
,GBP,0.908272,2020-03-15
,GBP,0.910762,2020-03-16
,GBP,0.910785,2020-03-17
,GBP,0.936761,2020-03-18
,GBP,0.917289,2020-03-19
,GBP,0.91036,2020-03-20
,GBP,0.923906,2020-03-21
,GBP,0.923906,2020-03-22
,GBP,0.936815,2020-03-23
,GBP,0.917367,2020-03-24
,GBP,0.917349,2020-03-25
,GBP,0.90682,2020-03-26
,GBP,0.893223,2020-03-27
,GBP,0.896708,2020-03-28
,GBP,0.896708,2020-03-29
,GBP,0.888867,2020-03-30
,GBP,0.885167,2020-03-31
,GBP,0.881119,2020-04-1
,GBP,0.877534,2020-04-2
,GBP,0.881398,2020-04-3
,GBP,0.877188,2020-04-6
,GBP,0.883784,2020-04-7
,GBP,0.874958,2020-04-8
,GBP,0.878143,2020-04-9
,GBP,0.877272,2020-04-10
,GBP,0.878565,2020-04-11
,GBP,0.878565,2020-04-12
,GBP,0.871632,2020-04-13
,GBP,0.869269,2020-04-14
,GBP,0.870823,2020-04-15
,GBP,0.871529,2020-04-16
,GBP,0.869253,2020-04-17
,GBP,0.869339,2020-04-18
,GBP,0.869339,2020-04-19
,GBP,0.872275,2020-04-20
,GBP,0.884891,2020-04-21
,GBP,0.87901,2020-04-22
,GBP,0.874586,2020-04-23
,GBP,0.874949,2020-04-24
,GBP,0.875216,2020-04-25
,GBP,0.874737,2020-04-26
,GBP,0.872184,2020-04-27
,GBP,0.871664,2020-04-28
,GBP,0.872563,2020-04-29
,GBP,0.869337,2020-04-30
,GBP,0.878104,2020-05-1
,GBP,0.887418,2020-05-2
,GBP,0.887418,2020-05-3
,GBP,0.876571,2020-05-4
,GBP,0.870951,2020-05-5
,GBP,0.87468,2020-05-6
,GBP,0.875318,2020-05-7
,GBP,0.873114,2020-05-8
,GBP,0.88429,2020-05-9
,GBP,0.88429,2020-05-10
,GBP,0.875791,2020-05-11
,GBP,0.882752,2020-05-12
,GBP,0.885256,2020-05-13
,GBP,0.884099,2020-05-14
,GBP,0.892216,2020-05-15
,GBP,0.895431,2020-05-18
,GBP,0.892076,2020-05-19
,GBP,0.897421,2020-05-20
,GBP,0.89567,2020-05-21
,GBP,0.894695,2020-05-22
,GBP,0.896347,2020-05-23
,GBP,0.896347,2020-05-24
,GBP,0.893866,2020-05-25
,GBP,0.889512,2020-05-26
,GBP,0.896816,2020-05-27
,GBP,0.897975,2020-05-28
,GBP,0.901845,2020-05-29
,GBP,0.899664,2020-05-30
,GBP,0.899664,2020-05-31
,GBP,0.892966,2020-06-1
,GBP,0.890549,2020-06-2
,GBP,0.892388,2020-06-3
,GBP,0.898758,2020-06-4
,GBP,0.890013,2020-06-5
,GBP,0.891516,2020-06-6
,GBP,0.891516,2020-06-7
,GBP,0.889461,2020-06-8
,GBP,0.89044,2020-06-9
,GBP,0.890076,2020-06-10
,GBP,0.900798,2020-06-11
,GBP,0.89916,2020-06-12
,GBP,0.897238,2020-06-13
,GBP,0.897238,2020-06-14
,GBP,0.898272,2020-06-15
,GBP,0.894433,2020-06-16
,GBP,0.895844,2020-06-17
,GBP,0.902684,2020-06-18
,GBP,0.905423,2020-06-19
,GBP,0.905133,2020-06-20
,GBP,0.905133,2020-06-21
,GBP,0.903424,2020-06-22
,GBP,0.90419,2020-06-23
,GBP,0.90611,2020-06-24
,GBP,0.904227,2020-06-25
,GBP,0.909774,2020-06-26
,GBP,0.909191,2020-06-27
,GBP,0.909191,2020-06-28
,GBP,0.914604,2020-06-29
,GBP,0.908452,2020-06-30
,GBP,0.902503,2020-07-1
,GBP,0.900786,2020-07-2
,GBP,0.901939,2020-07-3
,GBP,0.900756,2020-07-4
,GBP,0.900756,2020-07-5
,GBP,0.905604,2020-07-6
,GBP,0.898396,2020-07-7
,GBP,0.899694,2020-07-8
,GBP,0.895179,2020-07-9
,GBP,0.894973,2020-07-10
,GBP,0.89483,2020-07-11
,GBP,0.89483,2020-07-12
,GBP,0.901227,2020-07-13
,GBP,0.909137,2020-07-14
,GBP,0.906187,2020-07-15
,GBP,0.90653,2020-07-16
,GBP,0.910686,2020-07-17
,GBP,0.909543,2020-07-18
,GBP,0.909543,2020-07-19
,GBP,0.904087,2020-07-20
,GBP,0.903539,2020-07-21
,GBP,0.909357,2020-07-22
,GBP,0.911577,2020-07-23
,GBP,0.910138,2020-07-24
,GBP,0.911234,2020-07-25
,GBP,0.911234,2020-07-26
,GBP,0.912473,2020-07-27
,GBP,0.906549,2020-07-28
,GBP,0.907667,2020-07-29
,GBP,0.903263,2020-07-30
,GBP,0.900325,2020-07-31
,GBP,0.899822,2020-08-3
,GBP,0.901396,2020-08-4
,GBP,0.904701,2020-08-5
,GBP,0.902784,2020-08-6
,GBP,0.902424,2020-08-7
,GBP,0.90381,2020-08-8
,GBP,0.90381,2020-08-9
,GBP,0.898064,2020-08-10
,GBP,0.898999,2020-08-11
,GBP,0.904394,2020-08-12
,GBP,0.903515,2020-08-13
,GBP,0.904382,2020-08-14
,GBP,0.904933,2020-08-15
,GBP,0.904933,2020-08-16
,GBP,0.905881,2020-08-17
,GBP,0.901611,2020-08-18
,GBP,0.902573,2020-08-19
,GBP,0.898631,2020-08-20
,GBP,0.900302,2020-08-21
,GBP,0.901104,2020-08-22
,GBP,0.901104,2020-08-23
,GBP,0.902677,2020-08-24
,GBP,0.899808,2020-08-25
,GBP,0.895236,2020-08-26
,GBP,0.894677,2020-08-27
,GBP,0.891858,2020-08-28
,GBP,0.891802,2020-08-29
,GBP,0.891802,2020-08-30
,GBP,0.892851,2020-08-31
,GBP,0.891327,2020-09-1
,GBP,0.889165,2020-09-2
,GBP,0.892361,2020-09-3
,GBP,0.89336,2020-09-4
,GBP,0.890827,2020-09-5
,GBP,0.890827,2020-09-6
,GBP,0.897232,2020-09-7
,GBP,0.904234,2020-09-8
,GBP,0.907693,2020-09-9
,GBP,0.925545,2020-09-10
,GBP,0.924809,2020-09-11
,GBP,0.925948,2020-09-12
,GBP,0.925948,2020-09-13
,GBP,0.922161,2020-09-14
,GBP,0.919308,2020-09-15
,GBP,0.911667,2020-09-16
,GBP,0.913377,2020-09-17
,GBP,0.916032,2020-09-18
,GBP,0.916634,2020-09-19
,GBP,0.916634,2020-09-20
,GBP,0.917786,2020-09-21
,GBP,0.92012,2020-09-22
,GBP,0.915537,2020-09-23
,GBP,0.914802,2020-09-24
,GBP,0.915248,2020-09-25
,GBP,0.912633,2020-09-26
,GBP,0.912633,2020-09-27
,GBP,0.907291,2020-09-28
,GBP,0.912918,2020-09-29
,GBP,0.907983,2020-09-30
,GBP,0.910597,2020-10-1
,GBP,0.905958,2020-10-2
,GBP,0.905946,2020-10-3
,GBP,0.905946,2020-10-4
,GBP,0.908087,2020-10-5
,GBP,0.909539,2020-10-6
,GBP,0.911226,2020-10-7
,GBP,0.908199,2020-10-8
,GBP,0.907975,2020-10-9
,GBP,0.906683,2020-10-10
,GBP,0.906683,2020-10-11
,GBP,0.903962,2020-10-12
,GBP,0.905466,2020-10-13
,GBP,0.902518,2020-10-14
,GBP,0.905778,2020-10-15
,GBP,0.906866,2020-10-16
,GBP,0.907085,2020-10-17
,GBP,0.907085,2020-10-18
,GBP,0.907661,2020-10-19
,GBP,0.914653,2020-10-20
,GBP,0.902015,2020-10-21
,GBP,0.902878,2020-10-22
,GBP,0.908932,2020-10-23
,GBP,0.909317,2020-10-24
,GBP,0.909317,2020-10-25
,GBP,0.908005,2020-10-26
,GBP,0.905254,2020-10-27
,GBP,0.905378,2020-10-28
,GBP,0.903259,2020-10-29
,GBP,0.899103,2020-10-30
,GBP,0.902086,2020-10-31
,GBP,0.902086,2020-11-1
,GBP,0.90175,2020-11-2
,GBP,0.898196,2020-11-3
,GBP,0.90119,2020-11-4
,GBP,0.900478,2020-11-5
,GBP,0.902355,2020-11-6
,GBP,0.902478,2020-11-7
,GBP,0.902478,2020-11-8
,GBP,0.89957,2020-11-9
,GBP,0.892156,2020-11-10
,GBP,0.890884,2020-11-11
,GBP,0.899074,2020-11-12
,GBP,0.89746,2020-11-13
,GBP,0.896961,2020-11-14
,GBP,0.896961,2020-11-15
,GBP,0.897635,2020-11-16
,GBP,0.895875,2020-11-17
,GBP,0.892365,2020-11-18
,GBP,0.895352,2020-11-19
,GBP,0.892201,2020-11-20
,GBP,0.892427,2020-11-21
,GBP,0.892427,2020-11-22
,GBP,0.88898,2020-11-23
,GBP,0.889813,2020-11-24
,GBP,0.890079,2020-11-25
,GBP,0.891889,2020-11-26
,GBP,0.898423,2020-11-27
,GBP,0.899091,2020-11-28
,GBP,0.899091,2020-11-29
,GBP,0.895076,2020-11-30
,GBP,0.898893,2020-12-1
,GBP,0.905971,2020-12-2
,GBP,0.900097,2020-12-3
,GBP,0.900724,2020-12-4
,GBP,0.902046,2020-12-5
,GBP,0.902046,2020-12-6
,GBP,0.909216,2020-12-7
,GBP,0.906365,2020-12-8
,GBP,0.902388,2020-12-9
,GBP,0.911932,2020-12-10
,GBP,0.91757,2020-12-11
,GBP,0.915776,2020-12-12
,GBP,0.915776,2020-12-13
,GBP,0.911521,2020-12-14
,GBP,0.905065,2020-12-15
,GBP,0.902036,2020-12-16
,GBP,0.901541,2020-12-17
,GBP,0.905752,2020-12-18
,GBP,0.906452,2020-12-19
,GBP,0.906452,2020-12-20
,GBP,0.916397,2020-12-21
,GBP,0.912992,2020-12-22
,GBP,0.902778,2020-12-23
,GBP,0.899127,2020-12-24
,GBP,0.901004,2020-12-25
,GBP,0.917981,2020-12-26
,GBP,0.917981,2020-12-27
,GBP,0.908598,2020-12-28
,GBP,0.9069,2020-12-29
,GBP,0.90336,2020-12-30
,GBP,0.895424,2020-12-31
,GBP,0.890176,2021-01-1
,GBP,0.887515,2021-01-2
,GBP,0.887515,2021-01-3
,GBP,0.904069,2021-01-4
,GBP,0.902672,2021-01-5
,GBP,0.904284,2021-01-6
,GBP,0.905083,2021-01-7
,GBP,0.902303,2021-01-8
,GBP,0.901183,2021-01-9
,GBP,0.901183,2021-01-10
,GBP,0.900434,2021-01-11
,GBP,0.892297,2021-01-12
,GBP,0.89196,2021-01-13
,GBP,0.88834,2021-01-14
,GBP,0.889174,2021-01-15
,GBP,0.88895,2021-01-16
,GBP,0.88895,2021-01-17
,GBP,0.889509,2021-01-18
,GBP,0.890016,2021-01-19
,GBP,0.887142,2021-01-20
,GBP,0.884909,2021-01-21
,GBP,0.890148,2021-01-22
,GBP,0.889845,2021-01-23
,GBP,0.889845,2021-01-24
,GBP,0.88813,2021-01-25
,GBP,0.885675,2021-01-26
,GBP,0.883564,2021-01-27
,GBP,0.883685,2021-01-28
,GBP,0.884863,2021-01-29
,GBP,0.885141,2021-01-30
,GBP,0.885626,2021-01-31
,GBP,0.882754,2021-02-1
,GBP,0.881171,2021-02-2
,GBP,0.880604,2021-02-3
,GBP,0.876352,2021-02-4
,GBP,0.876948,2021-02-5
,GBP,0.877156,2021-02-6
,GBP,0.877156,2021-02-7
,GBP,0.876786,2021-02-8
,GBP,0.877394,2021-02-9
,GBP,0.876138,2021-02-10
,GBP,0.877629,2021-02-11
,GBP,0.875357,2021-02-12
,GBP,0.875632,2021-02-13
,GBP,0.875632,2021-02-14
,GBP,0.871997,2021-02-15
,GBP,0.87066,2021-02-16
,GBP,0.869672,2021-02-17
,GBP,0.865662,2021-02-18
,GBP,0.865627,2021-02-19
,GBP,0.864663,2021-02-20
,GBP,0.86457,2021-02-21
,GBP,0.863536,2021-02-22
,GBP,0.861905,2021-02-23
,GBP,0.860901,2021-02-24
,GBP,0.866346,2021-02-25
,GBP,0.866915,2021-02-26
,GBP,0.866937,2021-02-27
,GBP,0.866937,2021-02-28
,GBP,0.864531,2021-03-1
,GBP,0.86553,2021-03-2
,GBP,0.863499,2021-03-3
,GBP,0.859987,2021-03-4
,GBP,0.863086,2021-03-5
,GBP,0.858293,2021-03-8
,GBP,0.856143,2021-03-9
,GBP,0.856497,2021-03-10
,GBP,0.856721,2021-03-11
,GBP,0.85879,2021-03-12
,GBP,0.858433,2021-03-14
,GBP,0.858857,2021-03-15
,GBP,0.856192,2021-03-16
,GBP,0.857551,2021-03-17
,GBP,0.855706,2021-03-18
,GBP,0.858011,2021-03-19
,GBP,0.861464,2021-03-20
,GBP,0.861464,2021-03-21
,GBP,0.861162,2021-03-22
,GBP,0.861235,2021-03-23
,GBP,0.861858,2021-03-24
,GBP,0.856922,2021-03-25
,GBP,0.855375,2021-03-26
,GBP,0.857407,2021-03-27
,GBP,0.857407,2021-03-28
,GBP,0.854533,2021-03-29
,GBP,0.854234,2021-03-30
,GBP,0.85116,2021-03-31
,GBP,0.851784,2021-04-1
,GBP,0.85096,2021-04-2
,GBP,0.849876,2021-04-5
,GBP,0.857693,2021-04-6
,GBP,0.864995,2021-04-7
,GBP,0.867683,2021-04-8
,GBP,0.867054,2021-04-9
,GBP,0.868133,2021-04-10
,GBP,0.868133,2021-04-11
,GBP,0.86698,2021-04-12
,GBP,0.86901,2021-04-13
,GBP,0.868602,2021-04-14
,GBP,0.86822,2021-04-15
,GBP,0.866458,2021-04-16
,GBP,0.866155,2021-04-17
,GBP,0.866155,2021-04-18
,GBP,0.860751,2021-04-19
,GBP,0.862702,2021-04-20
,GBP,0.864192,2021-04-21
,GBP,0.867286,2021-04-22
,GBP,0.87176,2021-04-23
